Distance,Speed,Brake,Throttle,Lat,Lon
0,0,0,0,45.61891,9.28110
50,78.5,0,1,45.61920,9.28150
100,158.7,0,1,45.61980,9.28230
150,225.6,0,1,45.62060,9.28340
200,265.4,0,0.85,45.62150,9.28470
250,278.2,0.2,0.3,45.62240,9.28610
300,235.0,0.85,0,45.62310,9.28740
350,135.8,1.0,0,45.62350,9.28850
400,82.0,0.4,0.2,45.62360,9.28930
450,128.3,0,0.9,45.62330,9.28990
500,200.4,0,1,45.62270,9.29020
550,255.6,0,0.95,45.62190,9.29010
600,272.3,0.3,0.2,45.62100,9.28960
650,220.8,0.9,0,45.62020,9.28880
700,115.6,0.95,0,45.61960,9.28780
750,68.9,0.3,0.3,45.61920,9.28670
800,118.6,0,1,45.61900,9.28550
850,195.7,0,1,45.61890,9.28420
900,253.5,0,0.9,45.61890,9.28290
950,272.1,0.25,0.15,45.61890,9.28180
1000,210.8,0.95,0,45.61890,9.28120
