Lat,Lon,Speed,Throttle,Brake,Gear,RPM,Distance
45.616193,9.280769,326.7,0.555,0.000,7,6002,0.0
45.616337,9.280790,329.7,0.552,0.000,7,6230,16.1
45.616481,9.280811,332.4,0.542,0.000,7,6431,32.2
45.616625,9.280832,334.5,0.526,0.000,7,6589,48.3
45.616769,9.280853,336.0,0.508,0.000,7,6703,64.4
45.616913,9.280874,336.9,0.490,0.000,7,6770,80.5
45.617057,9.280895,337.5,0.476,0.000,7,6814,96.6
45.617201,9.280916,337.8,0.574,0.000,7,6837,112.7
45.617345,9.280937,338.0,0.678,0.000,7,6849,128.8
45.617489,9.280958,338.0,0.783,0.002,7,6849,144.9
45.617633,9.280979,338.0,0.891,0.007,7,6849,160.9
45.617777,9.281000,337.8,0.999,0.013,7,6835,177.0
45.617921,9.281021,337.4,0.998,0.022,7,6805,193.1
45.618065,9.281042,336.8,0.798,0.032,7,6759,209.2
45.618209,9.281063,336.0,0.598,0.043,7,6699,225.3
45.618353,9.281084,335.0,0.398,0.055,7,6623,241.4
45.618497,9.281105,333.6,0.199,0.064,7,6523,257.5
45.618641,9.281126,332.0,0.000,0.070,7,6399,273.6
45.618785,9.281147,330.4,0.000,0.070,7,6277,289.7
45.618929,9.281168,329.0,0.194,0.063,7,6174,305.8
45.619073,9.281192,328.0,0.387,0.049,7,6098,321.9
45.619216,9.281217,327.3,0.480,0.033,7,6051,338.0
45.619360,9.281242,327.1,0.578,0.020,7,6035,354.1
45.619504,9.281267,327.6,0.680,0.009,7,6067,370.2
45.619648,9.281288,328.6,0.590,0.003,7,6148,386.3
45.619792,9.281307,330.2,0.498,0.000,7,6268,402.4
45.619936,9.281325,332.0,0.504,0.000,7,6400,418.5
45.620080,9.281343,333.6,0.505,0.000,7,6516,434.6
45.620225,9.281361,334.9,0.499,0.000,7,6618,450.7
45.620369,9.281379,336.1,0.490,0.000,7,6703,466.8
45.620513,9.281397,336.9,0.479,0.000,7,6764,482.8
45.620657,9.281415,337.3,0.579,0.001,7,6800,498.9
45.620801,9.281433,337.5,0.680,0.001,7,6810,515.0
45.620945,9.281451,337.4,0.674,0.001,7,6807,531.1
45.621090,9.281469,337.4,0.671,0.001,7,6808,547.2
45.621234,9.281487,337.5,0.671,0.001,7,6811,563.3
45.621378,9.281506,337.6,0.562,0.000,7,6817,579.4
45.621522,9.281524,337.7,0.453,0.000,7,6824,595.5
45.621666,9.281542,337.8,0.453,0.000,7,6831,611.6
45.621811,9.281560,337.8,0.453,0.000,7,6837,627.7
45.621955,9.281579,337.9,0.452,0.000,7,6843,643.8
45.622099,9.281597,338.0,0.562,0.000,7,6847,659.9
45.622243,9.281615,338.0,0.671,0.000,7,6849,676.0
45.622387,9.281633,338.0,0.781,0.000,7,6849,692.1
45.622531,9.281652,338.0,0.890,0.000,7,6849,708.2
45.622676,9.281670,338.0,1.000,0.000,7,6849,724.3
45.622820,9.281688,338.0,1.000,0.000,7,6849,740.4
45.622964,9.281706,338.0,0.800,0.019,7,6849,756.5
45.623108,9.281724,338.0,0.600,0.083,7,6849,772.6
45.623252,9.281743,336.0,0.400,0.185,7,6699,788.6
45.623397,9.281761,328.4,0.200,0.321,7,6128,804.7
45.623541,9.281779,315.7,0.000,0.490,7,5174,820.8
45.623685,9.281797,298.0,0.000,0.671,7,8353,836.9
45.623829,9.281816,275.7,0.000,0.807,6,6925,853.0
45.623973,9.281834,248.7,0.000,0.905,6,4900,869.1
45.624117,9.281852,217.1,0.000,0.946,5,7283,885.2
45.624262,9.281870,184.4,0.000,0.888,4,5081,901.3
45.624406,9.281889,160.9,0.000,0.730,4,7815,917.4
45.624539,9.281946,146.9,0.120,0.530,3,7013,932.9
45.624548,9.282142,142.0,0.302,0.330,3,6653,948.2
45.624521,9.282342,146.1,0.502,0.153,3,6955,964.0
45.624626,9.282467,158.5,0.702,0.042,3,7887,979.2
45.624769,9.282444,179.0,0.902,0.000,4,8600,995.2
45.624909,9.282394,206.4,0.982,0.000,5,6479,1011.3
45.625049,9.282342,229.5,0.983,0.000,5,8211,1027.3
45.625189,9.282289,247.0,0.936,0.000,6,4773,1043.4
45.625329,9.282237,259.6,0.870,0.000,6,5719,1059.5
45.625470,9.282185,268.1,0.789,0.000,6,6358,1075.6
45.625611,9.282143,274.0,0.692,0.000,6,6800,1091.7
45.625754,9.282109,277.9,0.630,0.000,6,7094,1107.8
45.625898,9.282088,279.6,0.617,0.000,6,7220,1123.9
45.626042,9.282078,284.0,0.629,0.000,7,7297,1140.0
45.626187,9.282075,290.7,0.654,0.000,7,7802,1156.1
45.626331,9.282091,298.2,0.673,0.000,7,8367,1172.2
45.626476,9.282107,305.4,0.648,0.000,7,4407,1188.3
45.626620,9.282123,309.7,0.508,0.021,7,4731,1204.4
45.626764,9.282139,310.7,0.363,0.072,7,4805,1220.5
45.626909,9.282156,308.5,0.219,0.141,7,4636,1236.6
45.627053,9.282172,302.6,0.097,0.218,7,4195,1252.7
45.627197,9.282188,294.3,0.000,0.296,7,8073,1268.7
45.627342,9.282204,284.9,0.000,0.342,7,7369,1284.8
45.627485,9.282228,275.4,0.000,0.345,6,6908,1300.9
45.627628,9.282265,267.5,0.000,0.316,6,6310,1317.0
45.627769,9.282308,261.2,0.000,0.265,6,5838,1333.1
45.627908,9.282367,256.7,0.000,0.204,6,5500,1349.2
45.628044,9.282436,253.8,0.149,0.144,6,5285,1365.3
45.628177,9.282518,252.1,0.297,0.092,6,5158,1381.4
45.628308,9.282605,251.4,0.391,0.052,6,5107,1397.5
45.628436,9.282703,251.3,0.489,0.026,6,5094,1413.6
45.628559,9.282812,251.8,0.588,0.009,6,5133,1429.6
45.628678,9.282929,252.8,0.542,0.002,6,5207,1445.7
45.628791,9.283059,254.1,0.498,0.000,6,5304,1461.8
45.628899,9.283196,255.8,0.510,0.000,6,5431,1477.9
45.629002,9.283342,257.8,0.518,0.000,6,5585,1494.0
45.629099,9.283495,259.9,0.522,0.000,6,5743,1510.1
45.629191,9.283655,262.0,0.522,0.000,6,5899,1526.2
45.629278,9.283821,263.8,0.518,0.000,6,6037,1542.3
45.629360,9.283991,265.5,0.515,0.000,6,6159,1558.4
45.629437,9.284166,267.0,0.510,0.000,6,6277,1574.5
45.629506,9.284348,268.7,0.509,0.000,6,6400,1590.5
45.629572,9.284532,270.1,0.513,0.000,6,6506,1606.6
